ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,time_delay,return_delay,means,time_delay_adjusted,time_fe,time_fe_after,time_fe_before
1,Akido,1,325.8331283,340.8831188,363.0164383,383.1997589,396.9664169,424.6997328,444.7330535,463.3497085,477.0496998,#N/A,self-ordered,7,1,6,122.4665897,122.4665897,18.90207144,6.479003643,13.6999913,13.6999913,18.616655
2,Akido,2,556.8663163,563.182979,573.2329727,585.7996314,593.1996268,608.6162837,622.5496083,639.1329312,660.7829176,#N/A,self-ordered,9,#N/A,#N/A,#N/A,#N/A,12.98957516,#N/A,#N/A,#N/A,#N/A
3,Akido,3,737.8328691,747.4661964,752.6328598,770.4995152,777.9161772,789.2161701,797.5494982,813.0328218,832.1161431,#N/A,self-ordered,6,1,5,50.0833018,50.0833018,11.78540925,4.249602261,15.4833236,15.4833236,8.3333281
4,Akido,4,926.6160836,933.6994125,942.3660737,953.2160669,959.0160633,965.5993924,973.5993874,980.4160498,989.3160442,#N/A,forced,5,3,2,31.8999799,12.3833255,7.837495075,4.070175432,7.999995,7.999995,6.5833291
5,Akido,5,1072.332659,1076.565989,1084.665984,1097.19931,1102.13264,1110.132635,1121.965961,1130.765955,1137.582618,#N/A,forced,9,#N/A,#N/A,#N/A,#N/A,8.156244875,#N/A,#N/A,#N/A,#N/A
6,Akido,6,1218.199234,1218.3659,1225.665895,1237.365888,1242.349218,1248.299215,1253.949211,1261.065873,1267.099203,1274.149198,forced,4,2,2,23.983318,16.683323,6.112496125,3.923653694,5.949997,5.949997,4.98333
7,Albert,1,334.3333333,347.4,352.5833333,364.9166667,372,378.35,384.35,393.85,402.0166667,#N/A,self-ordered,6,1,5,36.95,36.95,8.460416675,4.367397189,9.5,9.5,6
8,Albert,2,497.0333333,501.95,508.1166667,513.3333333,518.2666667,522.1833333,528.5833333,535.3,539.6666667,546.7166667,self-ordered,7,2,5,33.35,27.1833333,5.329166675,6.258014064,4.3666667,4.3666667,6.7166667
9,Albert,3,644.2666667,652.1666667,655.3333333,660.5166667,668.5666667,673.5166667,677.35,681.2666667,685.5166667,689.85,self-ordered,5,1,4,21.35,21.35,5.15625,4.140606061,3.8333333,3.8333333,4.95
10,Albert,4,822.5,829.4333333,839.35,849.1,852.3,862.3333333,869.4666667,881.2166667,889.75,#N/A,forced,8,1,7,60.3166667,60.3166667,8.40625,7.175216857,#N/A,#N/A,8.5333333
11,Albert,5,1011.5,1013.366667,1019.783333,1030.133333,1034.083333,1038.7,1043.016667,1046.916667,1050.5,#N/A,forced,4,1,3,20.716666,20.716666,4.875,4.249572513,4.616667,4.616667,3.95
12,Albert,6,1163.433333,1164.466667,1175.15,1180.45,1183.9,1188.4,1192.433333,1196.266667,1200.316667,1204.316667,forced,5,2,3,23.933333,13.25,4.61041675,5.191143078,4.033333,4.033333,4.5
13,Anubis3,1,306.0332842,323.4166147,348.5666107,360.1832755,371.1999404,385.7999381,398.399936,413.5166003,428.8665978,#N/A,self-ordered,6,1,5,74.9833213,74.9833213,15.3541642,4.88358209,15.1166643,15.1166643,12.5999979
14,Anubis3,2,639.0998974,664.31656,674.0332251,685.9332232,695.566555,704.6498869,714.6665519,723.0165506,737.333215,744.3165472,self-ordered,4,1,3,31.249995,31.249995,12.2791647,2.544960978,9.0833319,9.0833319,9.6333318
15,Anubis3,3,868.0998606,888.466524,901.066522,911.0998537,920.5498522,942.9498486,948.9165143,958.7498461,966.9498448,#N/A,self-ordered,6,3,3,60.4499903,37.8166606,12.35624803,4.892260998,9.8333318,9.8333318,5.9666657
16,Anubis3,4,1138.949817,1143.399816,1154.366481,1179.883144,1184.94981,1192.449809,1198.233141,1204.13314,1217.133138,#N/A,forced,3,2,1,36.483328,25.516663,9.772915125,3.733105991,5.066666,5.066666,25.516663
17,Anubis3,5,1315.483122,1330.549786,1335.333119,1358.216449,1364.233114,1369.616447,1377.849779,1384.733111,1402.466442,1408.96644,forced,3,1,2,27.666663,27.666663,10.872915,2.544548817,6.016665,6.016665,22.88333
18,Anubis3,6,1524.649755,1530.033088,1540.033086,1565.449749,1575.98308,1581.999746,1587.349745,1593.999744,1600.533076,1609.683075,forced,6,2,4,57.316657,47.316659,9.485415125,6.042609232,6.649999,6.649999,5.349999
19,Blue5,1,385.6666667,388.2,398.7166667,401.25,408.3666667,413.6333333,422.4,433.7833333,444.6166667,459.35,self-ordered,5,2,3,25.4333333,14.9166666,7.36875,3.451512577,8.7666667,8.7666667,5.2666666
20,Blue5,2,554.1,555.1833333,559.3,563.6,569.3833333,574.5333333,580.9,586.0333333,591.5333333,#N/A,self-ordered,3,1,2,8.4166667,8.4166667,4.679166662,1.798753348,5.7833333,5.7833333,4.3
