ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,Akido,1,325.8331283,340.8831188,363.0164383,383.1997589,396.9664169,424.6997328,444.7330535,463.3497085,477.0496998,#N/A,self-ordered,7,1,6,1,2
2,Akido,2,556.8663163,563.182979,573.2329727,585.7996314,593.1996268,608.6162837,622.5496083,639.1329312,660.7829176,#N/A,self-ordered,9,#N/A,#N/A,1,0
3,Akido,3,737.8328691,747.4661964,752.6328598,770.4995152,777.9161772,789.2161701,797.5494982,813.0328218,832.1161431,#N/A,self-ordered,6,1,5,1,1
4,Akido,4,926.6160836,933.6994125,942.3660737,953.2160669,959.0160633,965.5993924,973.5993874,980.4160498,989.3160442,#N/A,forced,5,3,2,0,4
5,Akido,5,1072.332659,1076.565989,1084.665984,1097.19931,1102.13264,1110.132635,1121.965961,1130.765955,1137.582618,#N/A,forced,9,#N/A,#N/A,0,0
6,Akido,6,1218.199234,1218.3659,1225.665895,1237.365888,1242.349218,1248.299215,1253.949211,1261.065873,1267.099203,1274.149198,forced,4,2,2,1,3
7,Albert,1,334.3333333,347.4,352.5833333,364.9166667,372,378.35,384.35,393.85,402.0166667,#N/A,self-ordered,6,1,5,1,2
8,Albert,2,497.0333333,501.95,508.1166667,513.3333333,518.2666667,522.1833333,528.5833333,535.3,539.6666667,546.7166667,self-ordered,7,2,5,2,2
9,Albert,3,644.2666667,652.1666667,655.3333333,660.5166667,668.5666667,673.5166667,677.35,681.2666667,685.5166667,689.85,self-ordered,5,1,4,1,2
10,Albert,4,822.5,829.4333333,839.35,849.1,852.3,862.3333333,869.4666667,881.2166667,889.75,#N/A,forced,8,1,7,2,1
11,Albert,5,1011.5,1013.366667,1019.783333,1030.133333,1034.083333,1038.7,1043.016667,1046.916667,1050.5,#N/A,forced,4,1,3,1,2
12,Albert,6,1163.433333,1164.466667,1175.15,1180.45,1183.9,1188.4,1192.433333,1196.266667,1200.316667,1204.316667,forced,5,2,3,2,3
13,Anubis3,1,306.0332842,323.4166147,348.5666107,360.1832755,371.1999404,385.7999381,398.399936,413.5166003,428.8665978,#N/A,self-ordered,6,1,5,1,3
14,Anubis3,2,639.0998974,664.31656,674.0332251,685.9332232,695.566555,704.6498869,714.6665519,723.0165506,737.333215,744.3165472,self-ordered,4,1,3,0,3
15,Anubis3,3,868.0998606,888.466524,901.066522,911.0998537,920.5498522,942.9498486,948.9165143,958.7498461,966.9498448,#N/A,self-ordered,6,3,3,1,2
16,Anubis3,4,1138.949817,1143.399816,1154.366481,1179.883144,1184.94981,1192.449809,1198.233141,1204.13314,1217.133138,#N/A,forced,3,2,1,1,2
17,Anubis3,5,1315.483122,1330.549786,1335.333119,1358.216449,1364.233114,1369.616447,1377.849779,1384.733111,1402.466442,1408.96644,forced,3,1,2,2,2
18,Anubis3,6,1524.649755,1530.033088,1540.033086,1565.449749,1575.98308,1581.999746,1587.349745,1593.999744,1600.533076,1609.683075,forced,6,2,4,1,2
19,Ava2,1,8.016659778,11.49999012,16.3666526,29.5166413,32.49997207,43.98329554,48.39995841,59.36661565,66.68327603,#N/A,forced,5,1,4,3,2
20,Ava2,2,159.833196,164.2998588,171.8498523,180.4165116,184.7665079,191.0165025,195.6664985,202.7831591,207.2164886,#N/A,forced,7,1,6,1,2
21,Ava2,3,299.7497424,305.4164042,311.7163988,319.616392,324.5663878,332.1830479,336.7830439,346.3830357,352.599697,#N/A,forced,8,4,4,1,1
22,Ava2,4,449.6996136,451.2496122,454.4496095,460.0996046,464.5996008,470.3662625,475.3162582,480.3995872,485.4329162,492.7162433,self-ordered,6,1,5,1,1
23,Ava2,5,599.0161519,603.0494818,608.0828108,612.7994734,618.4161353,623.7661307,629.0327928,635.832787,641.4161155,#N/A,self-ordered,6,2,4,2,2
24,Ava2,6,725.6993764,728.116041,732.6993704,737.3993664,745.6493593,751.0660213,756.5660165,763.1826775,770.7660043,#N/A,self-ordered,7,1,6,3,1
25,Blue5,1,385.6666667,388.2,398.7166667,401.25,408.3666667,413.6333333,422.4,433.7833333,444.6166667,459.35,self-ordered,5,2,3,1,3
26,Blue5,2,554.1,555.1833333,559.3,563.6,569.3833333,574.5333333,580.9,586.0333333,591.5333333,#N/A,self-ordered,3,1,2,4,1
27,Blue5,3,675.7333333,683.4833333,686.8833333,689.85,693.9,699.75,703.5166667,707.7666667,713.1666667,#N/A,self-ordered,7,1,6,4,2
28,Blue5,4,803.2333333,806.5833333,812.7666667,824.15,827.5166667,835.5833333,843.1833333,847.9166667,854.2,860.05,forced,5,3,2,3,1
29,Blue5,5,939.7333333,952.4666667,955.8166667,968.9666667,972.3,976.1,980.4,984.7666667,988.8166667,994.4,forced,7,1,6,2,1
30,Blue5,6,1123.716667,1126.066667,1132.316667,1147.433333,1150.9,1154.9,1160.3,1165.066667,1169.116667,1176.616667,forced,4,1,3,1,3
31,Chomsky,1,306.5831649,316.7831593,324.8831549,334.7331495,346.6164763,354.316472,369.5831303,387.0164541,398.4997811,#N/A,self-ordered,4,2,2,3,1
32,Chomsky,2,503.3663902,509.5330534,514.3163841,519.7330478,529.3830425,539.5497036,548.1330322,558.4663599,569.4163539,#N/A,self-ordered,6,1,5,1,1
33,Chomsky,3,666.9496336,672.6829638,678.6496272,685.3496235,693.8996188,702.2829475,712.2162754,720.8329374,728.9995995,#N/A,self-ordered,8,1,7,3,1
34,Chomsky,4,972.0661327,980.8161279,989.2161233,1008.666113,1013.199443,1021.549439,1032.632766,1039.932762,1046.682758,#N/A,forced,6,1,5,2,1
35,Chomsky,5,1189.299347,1195.599343,1202.699339,1213.416,1221.832662,1227.932659,1235.132655,1240.915985,1252.265979,#N/A,forced,6,1,5,2,2
36,Chomsky,6,1369.949247,1385.332572,1390.449236,1401.232564,1410.015892,1420.332553,1425.465884,1433.432546,1441.665875,1447.665871,forced,6,2,4,2,2
37,Dante4,1,243.2165407,255.6832009,272.199859,286.3665183,299.5998448,323.716499,341.9331562,362.366479,395.1997953,#N/A,self-ordered,7,1,6,4,2
38,Dante4,2,501.3497403,516.3497325,521.9163963,529.1663926,538.4663877,549.7330486,569.4663717,577.5663675,594.9330252,#N/A,self-ordered,9,#N/A,#N/A,2,0
39,Dante4,3,694.2163071,713.4496304,718.3996279,723.999625,729.8829552,738.4662841,744.4496144,755.9329418,768.7496018,#N/A,self-ordered,5,1,4,3,3
40,Dante4,4,884.832875,889.9162057,899.0662009,914.8995261,921.1995228,926.5828534,934.4495159,941.8495121,949.6661747,#N/A,forced,8,2,6,2,1
41,Dante4,5,1060.032784,1070.716112,1081.84944,1090.966102,1096.366099,1101.916096,1110.332758,1118.199421,1129.116082,#N/A,forced,7,3,4,2,1
42,Dante4,6,1217.666036,1233.916027,1240.932691,1252.816018,1259.716014,1266.432677,1275.449339,1285.782667,1294.532663,#N/A,forced,6,4,2,1,2
43,Diego6,1,324.2832472,331.9499118,342.1165758,354.1165726,360.116571,371.2832347,391.1832294,401.0498934,454.6332125,#N/A,forced,8,1,7,1,1
44,Diego6,2,563.4665169,568.7998489,575.1665138,583.9331782,588.4998436,594.8331753,620.6331684,631.2164989,638.7831636,#N/A,forced,4,1,3,2,2
45,Diego6,3,730.6331392,734.7164714,740.4498033,748.5331344,753.1331332,758.9331317,765.6997965,778.3664598,784.183125,796.3497884,forced,7,3,4,2,1
46,Diego6,4,874.7164342,885.9497646,891.4164298,897.3497616,916.4830898,924.5330877,930.0997529,952.349747,960.4664115,967.5330763,self-ordered,4,2,2,1,2
47,Diego6,5,1046.199722,1056.399719,1061.133051,1065.699717,1072.633048,1078.96638,1085.099712,1093.533043,1101.149707,1108.966372,self-ordered,9,#N/A,#N/A,2,0
48,Diego6,6,1201.799681,1213.649678,1219.333009,1224.649675,1230.41634,1236.449671,1243.14967,1251.116334,1260.899665,1268.21633,self-ordered,7,4,3,1,2
49,Ella3,1,384.95,397.9333333,421.5166667,442.2,467.4666667,493.2166667,518.1,542.6666667,561.7,#N/A,self-ordered,3,1,2,1,3
50,Ella3,2,644.0166667,655.35,669.1833333,680.05,686.35,697.8666667,706.65,722.3666667,730.5,736.0833333,self-ordered,6,1,5,1,1
51,Ella3,3,824.8333333,835.3,842.5833333,851.0166667,857.4666667,868.3333333,878.3333333,887.7333333,895,#N/A,self-ordered,5,1,4,2,3
52,Emil10,1,244.8832104,252.9165397,267.8831989,282.216525,338.9831632,352.01649,366.5664827,383.1498077,399.6831327,#N/A,forced,9,#N/A,#N/A,1,0
53,Emil10,2,491.6830866,496.7997507,507.999745,535.8497311,543.9663936,559.0997194,622.916354,634.9996813,663.6830002,#N/A,forced,8,1,7,3,1
54,Emil10,3,774.999611,781.1662746,798.1329327,809.8495935,829.1162505,838.2829126,847.7995745,864.7828993,901.3828809,#N/A,forced,5,2,3,3,2
55,Emil10,4,991.0828359,1002.299497,1014.199491,1024.099486,1035.216147,1050.032806,1068.249464,1099.949448,1114.366107,#N/A,self-ordered,5,1,4,1,4
56,Emil10,5,1393.299301,1490.582585,1501.749246,1520.199237,1529.482566,1540.549227,1589.849202,1610.999191,1620.13252,#N/A,self-ordered,7,5,2,1,1
57,Emil10,6,1703.299145,1729.415799,1737.999128,1764.165781,1775.332442,1811.515757,1824.699084,1836.549078,1856.365735,#N/A,self-ordered,6,1,5,1,2
58,Felix6,1,357.0165437,380.0332024,413.6831908,438.6165156,449.1998452,461.5165077,469.6331715,479.8998347,493.4331633,501.5498272,self-ordered,7,1,6,6,1
59,Felix6,2,640.366446,659.4831061,665.2164375,675.9497671,682.3997649,692.2497615,705.299757,712.7830878,723.0997509,#N/A,self-ordered,6,3,3,3,1
60,Felix6,3,822.5663833,832.5997132,837.8830447,843.2663761,850.2330404,857.7497045,865.4330352,879.5330303,886.3663613,#N/A,self-ordered,7,2,5,3,2
61,Felix6,4,1256.749567,1265.966231,1272.716228,1289.099556,1296.932887,1303.032884,1310.032882,1316.449546,1321.882878,#N/A,forced,6,2,4,3,1
62,Felix6,5,1419.782844,1428.949508,1440.999504,1456.166165,1462.466163,1491.416153,1511.382813,1529.049473,1530.599473,1536.582804,forced,6,1,5,4,2
63,Fendi,1,300.2,317.7166667,332.3666667,340.35,355.15,363.7833333,375.25,381.6666667,388.2833333,#N/A,self-ordered,6,2,4,1,3
64,Fendi,2,481.9,489.1666667,492.4333333,500.2166667,507.8,512.35,519.15,525.4666667,534.1333333,#N/A,self-ordered,8,1,7,5,1
65,Fendi,3,625.9666667,633.5333333,637.9833333,645.1333333,649.8833333,658.0166667,666.1166667,675.0166667,680.2833333,695.3166667,self-ordered,9,#N/A,#N/A,7,0
66,Fendi,4,897.2666667,911.6833333,917.1,927.6166667,930.9333333,937.5666667,942.3666667,948.3,953.3666667,958.5,forced,7,1,6,5,2
67,Fendi,5,1049.916667,1058.866667,1065.1,1075.316667,1079.666667,1085.783333,1089.95,1094.883333,1098.816667,1106.783333,forced,5,3,2,1,2
68,Fendi,6,1201.416667,1212.083333,1216.366667,1222.816667,1226.666667,1231.316667,1236.516667,1240.6,1246.916667,1252.533333,forced,4,1,3,2,2
69,Filou9,1,234.7666667,234.7666667,263.9833333,285.0833333,307.4333333,321.5166667,334.3166667,344.0333333,354.7,361.9833333,self-ordered,9,#N/A,#N/A,5,0
70,Filou9,2,465.1333333,465.4333333,469.0833333,474.1,478.0833333,483.9666667,489.3833333,493.1,497.7,501.6333333,self-ordered,7,1,6,3,2
71,Filou9,3,622.4166667,623.1666667,626.35,632.0333333,635.5333333,639.8,645.55,651.45,656.35,660.7666667,self-ordered,8,5,3,4,1
72,Filou9,4,820.4166667,806.7333333,813.7,820.4166667,824.5333333,828.15,832.7666667,836.3166667,843.6333333,847.0333333,forced,7,5,2,1,2
73,Filou9,5,976.1666667,958.1,967.0666667,976.1666667,979.7833333,984.1166667,987.9666667,991.8833333,995.6166667,999.7666667,forced,7,2,5,5,1
74,Filou9,6,1116.683333,1106.333333,1111.083333,1116.683333,1120.416667,1124.95,1128.766667,1136,1141.416667,1145.466667,forced,5,1,4,5,2
75,Freeda,1,359.65,368.7333333,393.5,421.4166667,439.8333333,463.5833333,477.2333333,508.1,528.3333333,#N/A,forced,6,3,3,2,2
76,Freeda,2,637.1,646.6333333,648.65,656.9166667,665.0166667,681.8,690.7833333,704.0833333,717.5333333,730.6166667,forced,6,3,3,1,3
77,Freeda,3,813.7,823.6166667,834.3166667,844.7666667,852.15,864.1333333,890.9333333,897.7833333,910.45,#N/A,forced,4,2,2,2,3
78,Freeda,4,1031.15,1040.35,1050.783333,1062.95,1070.533333,1081.7,1088.233333,1096.366667,1107.166667,#N/A,self-ordered,3,1,2,1,3
79,Freeda,5,1231.55,1237.433333,1250.883333,1260.766667,1266.383333,1272.583333,1279.733333,1285.6,1293.083333,#N/A,self-ordered,5,1,4,1,3
80,Freeda,6,1401.066667,1409.183333,1417.266667,1429.066667,1439,1445.433333,1452.8,1461.7,1467.95,1474.916667,self-ordered,4,1,3,1,3
81,Gandalf,1,242.816609,252.0332735,280.1999335,289.7999312,309.1499266,316.049925,335.466587,343.0165852,352.7332496,#N/A,self-ordered,6,2,4,1,1
82,Gandalf,2,582.2831951,591.383193,603.0498569,623.549852,631.7665167,643.016514,651.2665121,658.8331769,667.0498417,#N/A,self-ordered,7,2,5,2,1
83,Gandalf,3,776.0164825,791.0664789,797.4664774,803.6331426,810.1498077,818.483139,824.3331377,831.4998026,839.0831342,847.4997988,self-ordered,8,1,7,2,1
84,Gandalf,4,934.5164448,937.2497775,944.883109,952.6497739,959.7664388,965.8164374,974.483102,980.4331006,987.283099,993.9664307,forced,6,1,5,2,1
85,Gandalf,5,1089.683075,1095.34974,1104.216405,1111.533069,1117.849735,1124.0664,1128.983065,1135.933064,1142.166396,#N/A,forced,4,1,3,3,2
86,Gandalf,6,1230.583041,1234.916374,1242.116372,1248.333037,1256.199702,1263.283033,1269.483032,1275.866364,1284.049695,1290.199694,forced,7,1,6,2,2
87,Goofy2,1,243.383223,253.0832186,265.5998796,278.5498737,289.4998688,306.0831946,318.7165222,330.3498502,343.0498445,#N/A,forced,6,3,3,0,1
88,Goofy2,2,436.3331355,445.499798,456.8331262,476.399784,487.1664458,501.1331061,510.1331021,521.1164304,530.9830926,536.5497568,forced,3,1,2,0,4
89,Goofy2,3,630.3830476,633.0163797,643.2997084,663.999699,669.6163631,684.3163564,692.7663526,706.0996799,715.8996754,#N/A,forced,3,1,2,1,2
90,Goofy2,4,801.9496364,812.3496317,821.6662942,827.2329583,834.0662885,839.9996192,853.4662798,860.3329433,869.6829391,#N/A,self-ordered,4,1,3,0,1
91,Goofy2,5,953.6495677,970.54956,977.4662235,989.1662182,1001.049546,1022.966203,1038.099529,1044.099527,1052.816189,#N/A,self-ordered,3,1,2,1,3
92,Goofy2,6,1140.782816,1156.266142,1161.649473,1167.982804,1178.949466,1186.982795,1205.132787,1213.866116,1220.866113,1228.56611,self-ordered,7,1,6,1,2
93,Hero,1,299.5,314.5833333,348.5166667,376.7833333,414.0666667,433.8666667,479.0666667,490.9,506.5833333,#N/A,self-ordered,4,1,3,5,1
94,Hero,2,606.3833333,618.1333333,624.7666667,630.95,638.1166667,645.1333333,654.5333333,665.5666667,677.0666667,#N/A,self-ordered,9,#N/A,#N/A,7,0
95,Hero,3,764.5666667,775.4333333,781.35,788.7833333,795.2,810,816.8833333,827.2166667,836.1,843.15,self-ordered,8,1,7,3,1
96,Hero,4,1014.016667,1019.483333,1029,1042.566667,1049.166667,1058.05,1071.9,1079.883333,1086.283333,#N/A,forced,7,2,5,5,1
97,Hero,5,1178.95,1182.85,1195.716667,1210.133333,1215.916667,1222.466667,1235.266667,1242.283333,1254.016667,#N/A,forced,3,1,2,3,1
98,Hero,6,1343.083333,1349.483333,1361.366667,1375.45,1381.6,1390.233333,1398.783333,1406.316667,1415.783333,#N/A,forced,9,#N/A,#N/A,2,0
99,Honey,1,342.6332439,355.6332405,365.3665713,379.0332344,406.4165606,438.3998855,464.0998788,496.766537,561.4498534,#N/A,forced,8,1,7,2,1
100,Honey,2,649.9331637,656.0331621,663.2498268,670.7164916,693.149819,706.7664821,727.5664767,747.9164714,757.5664689,#N/A,forced,7,2,5,1,2
101,Honey,3,837.2497814,844.4164462,849.9831114,857.5664428,865.1164408,873.499772,881.7331031,891.3497673,899.5497651,#N/A,forced,7,3,4,4,2
102,Honey,4,976.5830784,984.349743,992.2164076,999.1164058,1006.78307,1021.3164,1029.033065,1037.166396,1044.916394,#N/A,self-ordered,8,1,7,6,1
103,Honey,5,1122.93304,1130.783038,1136.499703,1143.233035,1150.9497,1158.016364,1165.866362,1178.699692,1187.04969,#N/A,self-ordered,9,#N/A,#N/A,4,0
104,Honey,6,1261.833004,1269.499669,1276.033,1284.966331,1293.116329,1301.19966,1307.799659,1314.83299,1324.982987,#N/A,self-ordered,9,#N/A,#N/A,7,0
105,Io,1,331.2,346.25,368.0833333,393.05,412.95,434.25,458.3,472.7333333,488.1,#N/A,self-ordered,6,1,5,1,2
106,Io,2,594.95,605.1666667,610.6833333,619.1,625.65,636.7,642.0333333,648.8666667,658.6,#N/A,self-ordered,5,3,2,1,3
107,Io,3,772.35,784.2833333,790.1166667,796.6666667,810,821.3666667,828.4166667,836.3666667,849.25,855.9,self-ordered,8,4,4,3,1
108,Io,4,1027.583333,1044.95,1053.316667,1063.5,1067.933333,1072.366667,1078.816667,1084.6,1094.883333,1099.983333,forced,6,2,4,1,2
109,Io,5,1181.1,1199.733333,1211.7,1222.133333,1226,1233.366667,1236.183333,1245.566667,1251.966667,1255.683333,forced,7,1,6,2,2
110,Io,6,1343.25,1360.466667,1364.083333,1376.05,1383.666667,1387.266667,1393.383333,1399.116667,1403.333333,1409.083333,forced,5,1,4,2,1
111,Jay2,1,424,437.5833333,448.05,490.65,512.1833333,536.7,575.65,593.5333333,606.1,652.6166667,self-ordered,8,4,4,2,1
112,Jay2,2,746.0333333,782.1666667,894.8,930.75,998.6,1015.2,1050.216667,1068.4,1111.016667,#N/A,self-ordered,7,1,6,1,2
113,Jay2,3,1230.216667,1309.566667,1322.383333,1355.083333,1396.066667,1502.516667,1544.583333,1587.016667,1639.55,#N/A,self-ordered,5,1,4,3,1
114,Jay2,4,1815.033333,1824.283333,1837.483333,1859.816667,1873,1895.95,1906.183333,1921.066667,1939.016667,1974.733333,forced,3,2,1,2,2
