subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,age,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.01,Loki7,m,Mix(BorderCollie/Husky),no,19/02/2022,20/01/2023,11,1,self-ordered,1,,,3,2,1,7,6,3,1,2
subj.01,Loki7,m,Mix(BorderCollie/Husky),no,19/02/2022,20/01/2023,11,1,self-ordered,2,,,3,4,5,7,1,2,4,6
subj.01,Loki7,m,Mix(BorderCollie/Husky),no,19/02/2022,20/01/2023,11,1,self-ordered,3,,,2,7,8,3,5,6,7,1
subj.01,Loki7,m,Mix(BorderCollie/Husky),no,19/02/2022,20/01/2023,11,2,forced,1,,,2,7,5,3,2,8,6,5
subj.01,Loki7,m,Mix(BorderCollie/Husky),no,19/02/2022,20/01/2023,11,2,forced,2,,,3,8,6,4,3,1,5,6
subj.01,Loki7,m,Mix(BorderCollie/Husky),no,19/02/2022,20/01/2023,11,2,forced,3,,,1,6,5,4,3,2,8,7
subj.02,Moon2,f,AustralianShepherd,no,31/10/2021,23/01/2023,14,1,self-ordered,1,,,1,7,6,3,2,8,7,3
subj.02,Moon2,f,AustralianShepherd,no,31/10/2021,23/01/2023,14,1,self-ordered,2,,,2,4,3,2,1,8,6,5
subj.02,Moon2,f,AustralianShepherd,no,31/10/2021,23/01/2023,14,1,self-ordered,3,,,5,4,3,1,8,6,5,4
subj.02,Moon2,f,AustralianShepherd,no,31/10/2021,23/01/2023,14,2,forced,1,,,6,5,3,2,1,7,5,4
subj.02,Moon2,f,AustralianShepherd,no,31/10/2021,23/01/2023,14,2,forced,2,,,1,7,5,4,3,2,1,8
subj.02,Moon2,f,AustralianShepherd,no,31/10/2021,23/01/2023,14,2,forced,3,,,4,3,5,4,3,8,6,5
subj.03,Filou9,m,Mix,no,02/06/2021,23/01/2023,19,1,self-ordered,1,,,1,2,8,7,6,5,4,3
subj.03,Filou9,m,Mix,no,02/06/2021,23/01/2023,19,1,self-ordered,2,,,5,6,7,8,2,4,5,7
subj.03,Filou9,m,Mix,no,02/06/2021,23/01/2023,19,1,self-ordered,3,,,1,8,7,6,5,3,4,5
subj.03,Filou9,m,Mix,no,02/06/2021,23/01/2023,19,2,forced,1,,,8,3,6,7,5,4,5,7
subj.03,Filou9,m,Mix,no,02/06/2021,23/01/2023,19,2,forced,2,,,1,6,2,3,4,5,6,7
subj.03,Filou9,m,Mix,no,02/06/2021,23/01/2023,19,2,forced,3,,,2,4,8,1,2,3,4,5
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05/07/2018,20/01/2023,54,1,forced,1,,,3,2,4,3,1,4,1,4
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05/07/2018,20/01/2023,54,1,forced,2,,,1,7,4,5,7,1,2,3
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05/07/2018,20/01/2023,54,1,forced,3,,,8,5,7,6,4,5,6,1
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05/07/2018,20/01/2023,54,2,self-ordered,1,,,8,6,3,1,2,4,8,1
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05/07/2018,20/01/2023,54,2,self-ordered,2,,,5,4,7,8,7,3,4,6
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05/07/2018,20/01/2023,54,2,self-ordered,3,,,3,4,5,1,2,3,5,6
subj.05,Tofu,m,CockerSpaniel,yes,26/09/2021,20/01/2023,15,1,forced,1,,,6,4,2,4,2,3,4,5
subj.05,Tofu,m,CockerSpaniel,yes,26/09/2021,20/01/2023,15,1,forced,2,,,8,7,1,2,1,8,7,8
