subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.02,Moon2,f,AustralianShepherd,no,31.10.2021,,1,self-ordered,1,,,2,1,8,6,5,4,3,2
subj.02,Moon2,f,AustralianShepherd,no,31.10.2021,,1,self-ordered,2,,,5,4,3,2,1,8,6,5
subj.02,Moon2,f,AustralianShepherd,no,31.10.2021,,1,self-ordered,3,,,2,1,8,6,7,5,4,3
subj.02,Moon2,f,AustralianShepherd,no,31.10.2021,,2,forced,1,,,1,7,3,2,1,8,7,5
subj.02,Moon2,f,AustralianShepherd,no,31.10.2021,,2,forced,2,,,8,3,2,1,8,7,5,4
subj.02,Moon2,f,AustralianShepherd,no,31.10.2021,,2,forced,3,,,4,2,4,3,2,1,8,6
subj.05,Tofu,m,CockerSpaniel,yes,26.09.2021,,1,forced,1,,,2,7,1,8,7,6,5,4
subj.05,Tofu,m,CockerSpaniel,yes,26.09.2021,,1,forced,2,,,6,3,1,8,7,6,5,4
subj.05,Tofu,m,CockerSpaniel,yes,26.09.2021,,1,forced,3,,,1,5,1,8,7,6,5,4
subj.05,Tofu,m,CockerSpaniel,yes,26.09.2021,,2,self-ordered,1,,,5,4,3,2,1,8,7,6
subj.05,Tofu,m,CockerSpaniel,yes,26.09.2021,,2,self-ordered,2,,,7,6,5,4,3,2,1,8
subj.05,Tofu,m,CockerSpaniel,yes,26.09.2021,,2,self-ordered,3,,,5,4,3,2,3,2,1,8
subj.06,Kito,m,"Mix(WestgotenSpitz,Jackrussel)",no,01.08.2020,,1,self-ordered,1,,,4,8,7,1,2,3,4,5
subj.06,Kito,m,"Mix(WestgotenSpitz,Jackrussel)",no,01.08.2020,,1,self-ordered,2,,,7,2,8,7,6,5,4,3
subj.06,Kito,m,"Mix(WestgotenSpitz,Jackrussel)",no,01.08.2020,,1,self-ordered,3,,,6,1,8,2,1,8,7,6
subj.06,Kito,m,"Mix(WestgotenSpitz,Jackrussel)",no,01.08.2020,,2,forced,1,,,1,3,4,5,6,7,8,1
subj.06,Kito,m,"Mix(WestgotenSpitz,Jackrussel)",no,01.08.2020,,2,forced,2,,,8,7,5,6,7,8,1,2
subj.06,Kito,m,"Mix(WestgotenSpitz,Jackrussel)",no,01.08.2020,,2,forced,3,,,5,6,7,8,1,2,3,4
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28.10.2016,,1,forced,1,,,1,3,4,5,6,7,2,3
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28.10.2016,,1,forced,2,,,8,6,2,3,5,6,1,4
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28.10.2016,,1,forced,3,,,4,2,5,6,7,8,2,3
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28.10.2016,,2,self-ordered,1,,,5,6,1,2,8,5,3,1
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28.10.2016,,2,self-ordered,2,,,2,1,7,5,6,2,4,5
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28.10.2016,,2,self-ordered,3,,,2,3,7,8,6,7,5,1
subj.09,Maze,f,Mix/Greyster,no,28.11.2021,,1,forced,1,,,4,1,3,5,2,4,3,2
subj.09,Maze,f,Mix/Greyster,no,28.11.2021,,1,forced,2,,,8,5,3,6,2,1,7,4
subj.09,Maze,f,Mix/Greyster,no,28.11.2021,,1,forced,3,,,7,2,6,5,3,2,1,8
subj.09,Maze,f,Mix/Greyster,no,28.11.2021,,2,self-ordered,1,,,3,2,5,8,6,4,3,1
subj.09,Maze,f,Mix/Greyster,no,28.11.2021,,2,self-ordered,2,,,5,3,2,8,6,5,3,2
subj.09,Maze,f,Mix/Greyster,no,28.11.2021,,2,self-ordered,3,,,4,7,3,2,1,8,6,4
subj.10,Twix,m,Mix(LabradorRetriever),yes,01.01.2010,,1,self-ordered,1,,,5,3,2,8,6,5,3,1
subj.10,Twix,m,Mix(LabradorRetriever),yes,01.01.2010,,1,self-ordered,2,,,2,1,8,6,5,3,1,8
subj.10,Twix,m,Mix(LabradorRetriever),yes,01.01.2010,,1,self-ordered,3,,,7,1,8,7,5,3,1,8
subj.10,Twix,m,Mix(LabradorRetriever),yes,01.01.2010,,2,forced,1,,,8,2,8,7,5,4,3,1
subj.10,Twix,m,Mix(LabradorRetriever),yes,01.01.2010,,2,forced,2,,,5,3,7,6,5,3,2,1
subj.10,Twix,m,Mix(LabradorRetriever),yes,01.01.2010,,2,forced,3,,,1,7,1,8,7,5,4,3
subj.11,Blue5,f,AustralianShepherd,yes,15.09.2013,,1,self-ordered,1,,,3,2,5,3,2,5,3,2
subj.11,Blue5,f,AustralianShepherd,yes,15.09.2013,,1,self-ordered,2,,,5,6,7,2,3,2,8,7
subj.11,Blue5,f,AustralianShepherd,yes,15.09.2013,,1,self-ordered,3,,,7,5,3,2,8,7,5,3
subj.11,Blue5,f,AustralianShepherd,yes,15.09.2013,,2,forced,1,,,2,7,2,3,5,6,5,3
subj.11,Blue5,f,AustralianShepherd,yes,15.09.2013,,2,forced,2,,,6,3,8,6,5,3,5,3
subj.11,Blue5,f,AustralianShepherd,yes,15.09.2013,,2,forced,3,,,4,8,2,5,7,5,3,2
subj.15,Albert,m,Dansky,yes,26.06.2018,,1,self-ordered,1,,,5,6,5,3,7,6,8,7
subj.15,Albert,m,Dansky,yes,26.06.2018,,1,self-ordered,2,,,4,6,5,7,2,3,6,8
subj.15,Albert,m,Dansky,yes,26.06.2018,,1,self-ordered,3,,,7,6,4,2,7,6,5,1
subj.15,Albert,m,Dansky,yes,26.06.2018,,2,forced,1,,,5,3,8,7,1,4,3,2
subj.15,Albert,m,Dansky,yes,26.06.2018,,2,forced,2,,,2,6,8,7,2,3,5,7
subj.15,Albert,m,Dansky,yes,26.06.2018,,2,forced,3,,,7,4,5,6,8,2,3,5
subj.17,Fendi,m,Mix,yes,20.04.2019,,1,self-ordered,1,,,6,7,8,1,2,3,4,5
subj.17,Fendi,m,Mix,yes,20.04.2019,,1,self-ordered,2,,,3,4,5,6,7,8,1,2
subj.17,Fendi,m,Mix,yes,20.04.2019,,1,self-ordered,3,,,4,5,6,7,8,1,2,3
subj.17,Fendi,m,Mix,yes,20.04.2019,,2,forced,1,,,2,7,1,2,3,4,5,6
subj.17,Fendi,m,Mix,yes,20.04.2019,,2,forced,2,,,4,8,1,2,3,4,5,6
subj.17,Fendi,m,Mix,yes,20.04.2019,,2,forced,3,,,6,1,2,3,4,5,6,7
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,1,self-ordered,1,,,6,1,6,2,7,6,3,1
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,1,self-ordered,2,,,6,8,6,3,1,7,8,6
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,1,self-ordered,3,,,5,3,8,6,3,8,7,5
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,2,forced,1,,,7,4,5,3,8,6,3,4
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,2,forced,2,,,6,1,3,5,8,6,3,5
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,2,forced,3,,,5,8,2,7,2,7,8,6
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,1,self-ordered,1,,,4,6,7,1,4,6,7,1
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,1,self-ordered,2,,,2,4,6,7,8,6,4,2
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,1,self-ordered,3,,,4,5,6,7,8,1,2,
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,2,forced,1,,,3,5,6,7,8,1,2,3
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,2,forced,2,,,8,2,4,5,6,7,1,2
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,2,forced,3,,,7,1,2,4,5,6,7,8
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,1,forced,1,,,5,7,4,5,6,8,1,2
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,1,forced,2,,,4,8,5,6,4,3,4,1
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,1,forced,3,,,6,2,5,7,8,1,6,5
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,2,self-ordered,1,,,4,5,6,8,2,1,7,5
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,2,self-ordered,2,,,1,3,2,8,6,4,3,1
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,2,self-ordered,3,,,1,7,5,2,8,6,4,5
subj.32,Mailo,m,Mix,yes,09.07.2015,,1,forced,1,,,1,7,5,4,3,2,1,8
