session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj.01,Loki7,m,Mix(Border Collie/Husky),no,19.02.2022,20.01.2023,1,self-ordered,1,11,3,2,1,7,6,3,1,2,6,1,5,2,3
1,subj.01,Loki7,m,Mix(Border Collie/Husky),no,19.02.2022,20.01.2023,1,self-ordered,2,11,3,4,5,7,1,2,4,6,7,2,5,2,1
1,subj.01,Loki7,m,Mix(Border Collie/Husky),no,19.02.2022,20.01.2023,1,self-ordered,3,11,2,7,8,3,5,6,7,1,7,2,5,2,1
1,subj.01,Loki7,m,Mix(Border Collie/Husky),no,19.02.2022,20.01.2023,2,forced,1,11,2,7,5,3,2,8,6,5,5,1,4,1,2
1,subj.01,Loki7,m,Mix(Border Collie/Husky),no,19.02.2022,20.01.2023,2,forced,2,11,3,8,6,4,3,1,5,6,5,1,4,1,2
1,subj.01,Loki7,m,Mix(Border Collie/Husky),no,19.02.2022,20.01.2023,2,forced,3,11,1,6,5,4,3,2,8,7,#N/A,#N/A,#N/A,4,0
1,subj.02,Moon2,f,Australian Shepherd,no,31.10.2021,23.01.2023,1,self-ordered,1,14,1,7,6,3,2,8,7,3,7,2,5,1,2
1,subj.02,Moon2,f,Australian Shepherd,no,31.10.2021,23.01.2023,1,self-ordered,2,14,2,4,3,2,1,8,6,5,4,1,3,4,1
1,subj.02,Moon2,f,Australian Shepherd,no,31.10.2021,23.01.2023,1,self-ordered,3,14,5,4,3,1,8,6,5,4,7,1,6,2,2
1,subj.02,Moon2,f,Australian Shepherd,no,31.10.2021,23.01.2023,2,forced,1,14,6,5,3,2,1,7,5,4,7,2,5,2,1
1,subj.02,Moon2,f,Australian Shepherd,no,31.10.2021,23.01.2023,2,forced,2,14,1,7,5,4,3,2,1,8,7,1,6,5,1
1,subj.02,Moon2,f,Australian Shepherd,no,31.10.2021,23.01.2023,2,forced,3,14,4,3,5,4,3,8,6,5,4,1,3,2,3
1,subj.03,Filou9,m,Mix,no,02.06.2021,23.01.2023,1,self-ordered,1,19,1,2,8,7,6,5,4,3,#N/A,#N/A,#N/A,5,0
1,subj.03,Filou9,m,Mix,no,02.06.2021,23.01.2023,1,self-ordered,2,19,5,6,7,8,2,4,5,7,7,1,6,3,2
1,subj.03,Filou9,m,Mix,no,02.06.2021,23.01.2023,1,self-ordered,3,19,1,8,7,6,5,3,4,5,8,5,3,4,1
1,subj.03,Filou9,m,Mix,no,02.06.2021,23.01.2023,2,forced,1,19,8,3,6,7,5,4,5,7,7,5,2,1,2
1,subj.03,Filou9,m,Mix,no,02.06.2021,23.01.2023,2,forced,2,19,1,6,2,3,4,5,6,7,7,2,5,5,1
1,subj.03,Filou9,m,Mix,no,02.06.2021,23.01.2023,2,forced,3,19,2,4,8,1,2,3,4,5,5,1,4,5,2
1,subj.04,Ludwig2,m,American Staffordshire Terrier,no,05.07.2018,20.01.2023,1,forced,1,54,3,2,4,3,1,4,1,4,4,1,3,1,4
1,subj.04,Ludwig2,m,American Staffordshire Terrier,no,05.07.2018,20.01.2023,1,forced,2,54,1,7,4,5,7,1,2,3,5,2,3,2,2
1,subj.04,Ludwig2,m,American Staffordshire Terrier,no,05.07.2018,20.01.2023,1,forced,3,54,8,5,7,6,4,5,6,1,6,2,4,2,2
1,subj.04,Ludwig2,m,American Staffordshire Terrier,no,05.07.2018,20.01.2023,2,self-ordered,1,54,8,6,3,1,2,4,8,1,7,1,6,1,2
1,subj.04,Ludwig2,m,American Staffordshire Terrier,no,05.07.2018,20.01.2023,2,self-ordered,2,54,5,4,7,8,7,3,4,6,5,3,2,1,2
1,subj.04,Ludwig2,m,American Staffordshire Terrier,no,05.07.2018,20.01.2023,2,self-ordered,3,54,3,4,5,1,2,3,5,6,6,1,5,2,2
1,subj.05,Tofu,m,Cocker Spaniel,yes,26.09.2021,20.01.2023,1,forced,1,15,6,4,2,4,2,3,4,5,4,2,2,3,3
1,subj.05,Tofu,m,Cocker Spaniel,yes,26.09.2021,20.01.2023,1,forced,2,15,8,7,1,2,1,8,7,8,5,3,2,3,4
1,subj.05,Tofu,m,Cocker Spaniel,yes,26.09.2021,20.01.2023,1,forced,3,15,3,2,4,7,8,1,2,1,7,2,5,3,2
1,subj.05,Tofu,m,Cocker Spaniel,yes,26.09.2021,20.01.2023,2,self-ordered,1,15,4,3,2,1,8,7,6,5,#N/A,#N/A,#N/A,7,0
1,subj.05,Tofu,m,Cocker Spaniel,yes,26.09.2021,20.01.2023,2,self-ordered,2,15,6,5,4,3,2,1,8,7,#N/A,#N/A,#N/A,7,0
1,subj.05,Tofu,m,Cocker Spaniel,yes,26.09.2021,20.01.2023,2,self-ordered,3,15,6,5,4,3,2,1,7,6,8,1,7,5,1
1,subj.06,Kito,m,"Mix (Westgoten Spitz, Jack russel)",no,01.08.2020,13.01.2023,1,self-ordered,1,29,1,2,3,4,5,6,7,8,#N/A,#N/A,#N/A,7,0
1,subj.06,Kito,m,"Mix (Westgoten Spitz, Jack russel)",no,01.08.2020,13.01.2023,1,self-ordered,2,29,6,5,3,2,1,2,3,4,6,4,2,3,2
1,subj.06,Kito,m,"Mix (Westgoten Spitz, Jack russel)",no,01.08.2020,13.01.2023,1,self-ordered,3,29,6,7,5,4,3,2,8,7,8,2,6,3,1
