Subject,Sex,breed,birth_date,test_date,Session,Number_boxes,Trial_number,trial_correct,number_redundant_searched,first_choice,second_choice,second_choice_correct,third_choice,third_choice_correct,fourth_choice,fourth_choice_correct,comment
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,1,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,2,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,3,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,4,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,5,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,6,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,7,1,0,2,3,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,8,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,9,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,10,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,11,0,1,3,2,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,12,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,13,0,1,3,1,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,14,0,1,3,1,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,15,0,1,3,2,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,16,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,17,0,1,2,3,1,1,1,1,0,a choice
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,18,1,0,3,1,1,4,1,2,1,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,19,0,1,3,1,1,3,0,2,0,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,20,0,1,3,1,1,4,1,4,0,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,21,0,1,1,3,1,4,1,3,0,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,22,0,1,3,2,1,4,1,4,0,"Tenya's first appointment had 10 trials with 2 boxes, 6 with 3 boxes, and 6 with 4 boxes instead of the usual 8 trials times 3. I also should've marked the black box as the 4th choice by our coding criteria; in the trial I gave tenya the treat from the last box because i hadnt thought the second approach of the black box was a choice"
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,1,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,2,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,3,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,4,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,5,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,6,1,0,2,3,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,7,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,8,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,9,1,0,3,2,1,1,1,,,
