"","CDL_name","sex","Number_arms","session","trial_num","condition","trial.id","choice.nr.within.trial","choice.where","choice.correct","last.choice","previous.correct","any.error.earlier","cup.id","choice.id","lag.from.last.choice","number.cups","error.ny","Age"
"1","Loki7","m",8,1,1,"self-ordered",1,2,2,1,1,"yes","0",3,1,1,1,0,11
"2","Loki7","m",8,1,1,"self-ordered",1,3,1,1,2,"yes","0",2,2,1,2,0,11
"3","Loki7","m",8,1,1,"self-ordered",1,3,1,1,1,"yes","0",3,2,2,2,0,11
"4","Loki7","m",8,1,1,"self-ordered",1,4,7,1,3,"yes","0",1,3,1,3,0,11
"5","Loki7","m",8,1,1,"self-ordered",1,4,7,1,2,"yes","0",2,3,2,3,0,11
"6","Loki7","m",8,1,1,"self-ordered",1,4,7,1,1,"yes","0",3,3,3,3,0,11
"7","Loki7","m",8,1,1,"self-ordered",1,5,6,1,3,"yes","0",1,4,2,4,0,11
"8","Loki7","m",8,1,1,"self-ordered",1,5,6,1,2,"yes","0",2,4,3,4,0,11
"9","Loki7","m",8,1,1,"self-ordered",1,5,6,1,1,"yes","0",3,4,4,4,0,11
"10","Loki7","m",8,1,1,"self-ordered",1,5,6,1,4,"yes","0",7,4,1,4,0,11
"11","Loki7","m",8,1,1,"self-ordered",1,6,3,0,3,"yes","0",1,5,3,5,0,11
"12","Loki7","m",8,1,1,"self-ordered",1,6,3,0,2,"yes","0",2,5,4,5,0,11
"13","Loki7","m",8,1,1,"self-ordered",1,6,3,0,1,"yes","0",3,5,5,5,1,11
"14","Loki7","m",8,1,1,"self-ordered",1,6,3,0,5,"yes","0",6,5,1,5,0,11
"15","Loki7","m",8,1,1,"self-ordered",1,6,3,0,4,"yes","0",7,5,2,5,0,11
"16","Loki7","m",8,1,1,"self-ordered",1,7,1,0,3,"no","1",1,6,4,5,1,11
"17","Loki7","m",8,1,1,"self-ordered",1,7,1,0,2,"no","1",2,6,5,5,0,11
"18","Loki7","m",8,1,1,"self-ordered",1,7,1,0,6,"no","1",3,6,1,5,0,11
"19","Loki7","m",8,1,1,"self-ordered",1,7,1,0,5,"no","1",6,6,2,5,0,11
"20","Loki7","m",8,1,1,"self-ordered",1,7,1,0,4,"no","1",7,6,3,5,0,11
"21","Loki7","m",8,1,1,"self-ordered",1,8,2,0,7,"no","1",1,7,1,5,0,11
"22","Loki7","m",8,1,1,"self-ordered",1,8,2,0,2,"no","1",2,7,6,5,1,11
"23","Loki7","m",8,1,1,"self-ordered",1,8,2,0,6,"no","1",3,7,2,5,0,11
"24","Loki7","m",8,1,1,"self-ordered",1,8,2,0,5,"no","1",6,7,3,5,0,11
"25","Loki7","m",8,1,1,"self-ordered",1,8,2,0,4,"no","1",7,7,4,5,0,11
"26","Loki7","m",8,1,2,"self-ordered",2,2,4,1,1,"yes","0",3,8,1,1,0,11
"27","Loki7","m",8,1,2,"self-ordered",2,3,5,1,1,"yes","0",3,9,2,2,0,11
"28","Loki7","m",8,1,2,"self-ordered",2,3,5,1,2,"yes","0",4,9,1,2,0,11
"29","Loki7","m",8,1,2,"self-ordered",2,4,7,1,1,"yes","0",3,10,3,3,0,11
"30","Loki7","m",8,1,2,"self-ordered",2,4,7,1,2,"yes","0",4,10,2,3,0,11
"31","Loki7","m",8,1,2,"self-ordered",2,4,7,1,3,"yes","0",5,10,1,3,0,11
"32","Loki7","m",8,1,2,"self-ordered",2,5,1,1,1,"yes","0",3,11,4,4,0,11
"33","Loki7","m",8,1,2,"self-ordered",2,5,1,1,2,"yes","0",4,11,3,4,0,11
"34","Loki7","m",8,1,2,"self-ordered",2,5,1,1,3,"yes","0",5,11,2,4,0,11
"35","Loki7","m",8,1,2,"self-ordered",2,5,1,1,4,"yes","0",7,11,1,4,0,11
"36","Loki7","m",8,1,2,"self-ordered",2,6,2,1,5,"yes","0",1,12,1,5,0,11
"37","Loki7","m",8,1,2,"self-ordered",2,6,2,1,1,"yes","0",3,12,5,5,0,11
"38","Loki7","m",8,1,2,"self-ordered",2,6,2,1,2,"yes","0",4,12,4,5,0,11
"39","Loki7","m",8,1,2,"self-ordered",2,6,2,1,3,"yes","0",5,12,3,5,0,11
"40","Loki7","m",8,1,2,"self-ordered",2,6,2,1,4,"yes","0",7,12,2,5,0,11
"41","Loki7","m",8,1,2,"self-ordered",2,7,4,0,5,"yes","0",1,13,2,6,0,11
"42","Loki7","m",8,1,2,"self-ordered",2,7,4,0,6,"yes","0",2,13,1,6,0,11
"43","Loki7","m",8,1,2,"self-ordered",2,7,4,0,1,"yes","0",3,13,6,6,0,11
"44","Loki7","m",8,1,2,"self-ordered",2,7,4,0,2,"yes","0",4,13,5,6,1,11
"45","Loki7","m",8,1,2,"self-ordered",2,7,4,0,3,"yes","0",5,13,4,6,0,11
"46","Loki7","m",8,1,2,"self-ordered",2,7,4,0,4,"yes","0",7,13,3,6,0,11
"47","Loki7","m",8,1,2,"self-ordered",2,8,6,1,5,"no","1",1,14,3,6,0,11
"48","Loki7","m",8,1,2,"self-ordered",2,8,6,1,6,"no","1",2,14,2,6,0,11
"49","Loki7","m",8,1,2,"self-ordered",2,8,6,1,1,"no","1",3,14,7,6,0,11
"50","Loki7","m",8,1,2,"self-ordered",2,8,6,1,7,"no","1",4,14,1,6,0,11
"51","Loki7","m",8,1,2,"self-ordered",2,8,6,1,3,"no","1",5,14,5,6,0,11
"52","Loki7","m",8,1,2,"self-ordered",2,8,6,1,4,"no","1",7,14,4,6,0,11
"53","Loki7","m",8,1,3,"self-ordered",3,2,7,1,1,"yes","0",2,15,1,1,0,11
"54","Loki7","m",8,1,3,"self-ordered",3,3,8,1,1,"yes","0",2,16,2,2,0,11
"55","Loki7","m",8,1,3,"self-ordered",3,3,8,1,2,"yes","0",7,16,1,2,0,11
"56","Loki7","m",8,1,3,"self-ordered",3,4,3,1,1,"yes","0",2,17,3,3,0,11
"57","Loki7","m",8,1,3,"self-ordered",3,4,3,1,2,"yes","0",7,17,2,3,0,11
"58","Loki7","m",8,1,3,"self-ordered",3,4,3,1,3,"yes","0",8,17,1,3,0,11
"59","Loki7","m",8,1,3,"self-ordered",3,5,5,1,1,"yes","0",2,18,4,4,0,11
"60","Loki7","m",8,1,3,"self-ordered",3,5,5,1,4,"yes","0",3,18,1,4,0,11
"61","Loki7","m",8,1,3,"self-ordered",3,5,5,1,2,"yes","0",7,18,3,4,0,11
"62","Loki7","m",8,1,3,"self-ordered",3,5,5,1,3,"yes","0",8,18,2,4,0,11
"63","Loki7","m",8,1,3,"self-ordered",3,6,6,1,1,"yes","0",2,19,5,5,0,11
"64","Loki7","m",8,1,3,"self-ordered",3,6,6,1,4,"yes","0",3,19,2,5,0,11
"65","Loki7","m",8,1,3,"self-ordered",3,6,6,1,5,"yes","0",5,19,1,5,0,11
"66","Loki7","m",8,1,3,"self-ordered",3,6,6,1,2,"yes","0",7,19,4,5,0,11
"67","Loki7","m",8,1,3,"self-ordered",3,6,6,1,3,"yes","0",8,19,3,5,0,11
"68","Loki7","m",8,1,3,"self-ordered",3,7,7,0,1,"yes","0",2,20,6,6,0,11
"69","Loki7","m",8,1,3,"self-ordered",3,7,7,0,4,"yes","0",3,20,3,6,0,11
"70","Loki7","m",8,1,3,"self-ordered",3,7,7,0,5,"yes","0",5,20,2,6,0,11
"71","Loki7","m",8,1,3,"self-ordered",3,7,7,0,6,"yes","0",6,20,1,6,0,11
