"","position_first_mistake","Freq","ms","cups","id"
"1","0",0.2193,"ms0",3,"MC_simulation"
"2","2",0.3304,"ms0",3,"MC_simulation"
"3","3",0.4503,"ms0",3,"MC_simulation"
"4","0",0.4959,"ms1",3,"MC_simulation"
"5","3",0.5041,"ms1",3,"MC_simulation"
"6","0",1,"ms2",3,"MC_simulation"
"7","0",0.0913,"ms0",4,"MC_simulation"
"8","2",0.2528,"ms0",4,"MC_simulation"
"9","3",0.3702,"ms0",4,"MC_simulation"
"10","4",0.2857,"ms0",4,"MC_simulation"
"11","0",0.2195,"ms1",4,"MC_simulation"
"12","3",0.3331,"ms1",4,"MC_simulation"
"13","4",0.4474,"ms1",4,"MC_simulation"
"14","0",0.5058,"ms2",4,"MC_simulation"
"15","4",0.4942,"ms2",4,"MC_simulation"
"16","0",1,"ms3",4,"MC_simulation"
"17","0",0.04,"ms0",5,"MC_simulation"
"18","2",0.197,"ms0",5,"MC_simulation"
"19","3",0.3212,"ms0",5,"MC_simulation"
"20","4",0.2807,"ms0",5,"MC_simulation"
"21","5",0.1611,"ms0",5,"MC_simulation"
"22","0",0.0964,"ms1",5,"MC_simulation"
"23","3",0.2529,"ms1",5,"MC_simulation"
"24","4",0.3745,"ms1",5,"MC_simulation"
"25","5",0.2762,"ms1",5,"MC_simulation"
"26","0",0.2253,"ms2",5,"MC_simulation"
"27","4",0.3307,"ms2",5,"MC_simulation"
"28","5",0.444,"ms2",5,"MC_simulation"
"29","0",0.4927,"ms3",5,"MC_simulation"
"30","5",0.5073,"ms3",5,"MC_simulation"
