,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,trial_start,latency
0,RadialMaze_2023-01-12_AR_Zeus3_S1,312.2331844,18734,455.3331161,27320,Zeus,trial,1,312.2331844,0
1,RadialMaze_2023-01-12_AR_Zeus3_S1,319.0165145,19141,,,Zeus,arm_visited,arm_1,312.2331844,6.783330097
2,RadialMaze_2023-01-12_AR_Zeus3_S1,338.7998384,20328,,,Zeus,arm_visited,arm_2,312.2331844,26.56665399
3,RadialMaze_2023-01-12_AR_Zeus3_S1,346.7331679,20804,,,Zeus,arm_visited,arm_3,312.2331844,34.49998354
4,RadialMaze_2023-01-12_AR_Zeus3_S1,361.0664944,21664,,,Zeus,arm_visited,arm_4,312.2331844,48.83331004
5,RadialMaze_2023-01-12_AR_Zeus3_S1,364.3331595,21860,,,Zeus,arm_visited,arm_3,312.2331844,52.09997514
6,RadialMaze_2023-01-12_AR_Zeus3_S1,380.2331519,22814,,,Zeus,arm_visited,arm_4,312.2331844,67.99996756
7,RadialMaze_2023-01-12_AR_Zeus3_S1,408.6164717,24517,,,Zeus,arm_visited,arm_5,312.2331844,96.38328735
8,RadialMaze_2023-01-12_AR_Zeus3_S1,420.5831327,25235,,,Zeus,arm_visited,arm_6,312.2331844,108.3499483
9,RadialMaze_2023-01-12_AR_Zeus3_S1,552.3830698,33143,645.7830253,38747,Zeus,trial,2,552.3830698,0
10,RadialMaze_2023-01-12_AR_Zeus3_S1,556.9330676,33416,,,Zeus,arm_visited,arm_4,552.3830698,4.549997829
11,RadialMaze_2023-01-12_AR_Zeus3_S1,563.9830643,33839,,,Zeus,arm_visited,arm_5,552.3830698,11.59999447
12,RadialMaze_2023-01-12_AR_Zeus3_S1,571.4330607,34286,,,Zeus,arm_visited,arm_6,552.3830698,19.04999091
13,RadialMaze_2023-01-12_AR_Zeus3_S1,591.4663845,35488,,,Zeus,arm_visited,arm_7,552.3830698,39.08331469
14,RadialMaze_2023-01-12_AR_Zeus3_S1,602.0497128,36123,,,Zeus,arm_visited,arm_8,552.3830698,49.66664297
15,RadialMaze_2023-01-12_AR_Zeus3_S1,616.3163726,36979,,,Zeus,arm_visited,arm_6,552.3830698,63.93330283
16,RadialMaze_2023-01-12_AR_Zeus3_S1,626.649701,37599,,,Zeus,arm_visited,arm_7,552.3830698,74.26663124
17,RadialMaze_2023-01-12_AR_Zeus3_S1,640.9830275,38459,,,Zeus,arm_visited,arm_8,552.3830698,88.59995773
18,RadialMaze_2023-01-12_AR_Zeus3_S1,729.7996518,43788,806.2996153,48378,Zeus,trial,3,729.7996518,0
19,RadialMaze_2023-01-12_AR_Zeus3_S1,733.7663166,44026,,,Zeus,arm_visited,arm_4,729.7996518,3.966664774
20,RadialMaze_2023-01-12_AR_Zeus3_S1,739.2996473,44358,,,Zeus,arm_visited,arm_5,729.7996518,9.499995468
21,RadialMaze_2023-01-12_AR_Zeus3_S1,746.5829772,44795,,,Zeus,arm_visited,arm_6,729.7996518,16.78332533
22,RadialMaze_2023-01-12_AR_Zeus3_S1,753.2163073,45193,,,Zeus,arm_visited,arm_7,729.7996518,23.4166555
23,RadialMaze_2023-01-12_AR_Zeus3_S1,762.2996363,45738,,,Zeus,arm_visited,arm_8,729.7996518,32.4999845
24,RadialMaze_2023-01-12_AR_Zeus3_S1,781.6662938,46900,,,Zeus,arm_visited,arm_3,729.7996518,51.86664192
25,RadialMaze_2023-01-12_AR_Zeus3_S1,791.4996224,47490,,,Zeus,arm_visited,arm_4,729.7996518,61.69997057
26,RadialMaze_2023-01-12_AR_Zeus3_S1,801.2662844,48076,,,Zeus,arm_visited,arm_5,729.7996518,71.46663257
27,RadialMaze_2023-01-12_AR_Zeus3_S1,928.5662237,55714,,,Zeus,forced_choice ,arm_2,729.7996518,198.7665718
28,RadialMaze_2023-01-12_AR_Zeus3_S1,937.4495528,56247,,,Zeus,forced_choice ,arm_6,729.7996518,207.6499009
29,RadialMaze_2023-01-12_AR_Zeus3_S1,947.1662148,56830,998.1328572,59888,Zeus,trial,4,947.1662148,0
30,RadialMaze_2023-01-12_AR_Zeus3_S1,951.9162125,57115,,,Zeus,arm_visited,arm_7,947.1662148,4.749997734
31,RadialMaze_2023-01-12_AR_Zeus3_S1,958.7662093,57526,,,Zeus,arm_visited,arm_8,947.1662148,11.59999447
32,RadialMaze_2023-01-12_AR_Zeus3_S1,965.8662059,57952,,,Zeus,arm_visited,arm_2,947.1662148,18.69999108
33,RadialMaze_2023-01-12_AR_Zeus3_S1,971.916203,58315,,,Zeus,arm_visited,arm_4,947.1662148,24.74998819
34,RadialMaze_2023-01-12_AR_Zeus3_S1,977.7328669,58664,,,Zeus,arm_visited,arm_5,947.1662148,30.56665208
