"","first_error","mean_freq","group"
"1","2",0.1193,"ms0"
"2","2",0,"ms1"
"3","2",0,"ms2"
"4","2",0,"ms3"
"5","2",0,"ms4"
"6","2",0,"ms5"
"7","2",0,"ms6"
"8","2",0,"ms7"
"9","3",0.2219,"ms0"
"10","3",0.1383,"ms1"
"11","3",0,"ms2"
"12","3",0,"ms3"
"13","3",0,"ms4"
"14","3",0,"ms5"
"15","3",0,"ms6"
"16","3",0,"ms7"
"17","4",0.2441,"ms0"
"18","4",0.2436,"ms1"
"19","4",0.1637,"ms2"
"20","4",0,"ms3"
"21","4",0,"ms4"
"22","4",0,"ms5"
"23","4",0,"ms6"
"24","4",0,"ms7"
"25","5",0.2051,"ms0"
"26","5",0.2673,"ms1"
"27","5",0.2775,"ms2"
"28","5",0.1957,"ms3"
"29","5",0,"ms4"
"30","5",0,"ms5"
"31","5",0,"ms6"
"32","5",0,"ms7"
"33","6",0.1337,"ms0"
"34","6",0.1989,"ms1"
"35","6",0.2852,"ms2"
"36","6",0.3221,"ms3"
"37","6",0.2582,"ms4"
"38","6",0,"ms5"
"39","6",0,"ms6"
"40","6",0,"ms7"
"41","7",0.0549,"ms0"
"42","7",0.1063,"ms1"
"43","7",0.1793,"ms2"
"44","7",0.2887,"ms3"
"45","7",0.3751,"ms4"
"46","7",0.335,"ms5"
"47","7",0,"ms6"
"48","7",0,"ms7"
"49","8",0.0187,"ms0"
"50","8",0.0392,"ms1"
"51","8",0.079,"ms2"
"52","8",0.1563,"ms3"
"53","8",0.274,"ms4"
"54","8",0.4448,"ms5"
"55","8",0.5016,"ms6"
"56","8",0,"ms7"
"57","9",0.0023,"ms0"
"58","9",0.0064,"ms1"
"59","9",0.0153,"ms2"
"60","9",0.0372,"ms3"
"61","9",0.0927,"ms4"
"62","9",0.2202,"ms5"
"63","9",0.4984,"ms6"
"64","9",1,"ms7"
